disclosure_id,status,approved_wording,exact_copy_required,product,market,audience_or_eligibility,trigger_conditions,placement_requirements,effective_from,effective_until,owner,source_id,last_verified,notes
EU_DIEL_CLIENT_MARKETING,approved_source_pending_release_verification,"This email is a marketing email intended for retail and professional clients and has been issued and approved for distribution by Deriv Investments (Europe) Limited, a company incorporated in Malta with registration number C 70156, and its registered address at W Business Centre, Level 3, Triq Dun Karm, Birkirkara, BKR 9033, Malta.

Deriv Investments (Europe) Limited is licensed and regulated by the Malta Financial Services Authority under the Investment Services Act to provide investment services to EEA states under EU passporting rights. It is the manufacturer and distributor of its products.

The products offered by Deriv Investments (Europe) Limited, including CFDs, are classed as 'complex products' and may not be appropriate for retail clients. CFDs are complex instruments with a high risk of losing money rapidly due to leverage. 74% of retail investor accounts lose money when trading CFDs with this provider. You should consider whether you understand how CFDs work and whether you can afford to take the high risk of losing your money.

Please also note that the information we provide does not constitute investment advice and it may become outdated. Your capital is at risk. The value of your investment may go down as well as up. Our products may be affected by changes in currency exchange rates.

To learn more about how we protect your personal and financial information, please read our Privacy Policy.

Links: (1) Help centre; (2) Terms and conditions; (3) Key information documents.",yes,All applicable products,EU / DIEL,Clients,"DIEL sender; client audience; marketing or product information. If classification is uncertain, default provisionally to marketing.",Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Tailor communication type and target audience when approved. CFD wording may be removed only when not relevant. Add EU past-performance wording when triggered. Verify the 74% figure before production.
EU_DIEL_CLIENT_TRANSACTIONAL,approved_source_pending_release_verification,"This is a notification email to inform clients about important updates and has been issued by Deriv Investments (Europe) Limited, a company incorporated in Malta, with registration number C 70156, and its registered address at W Business Centre, Level 3, Triq Dun Karm, Birkirkara, BKR 9033, Malta.

Deriv Investments (Europe) Limited is licensed and regulated by the Malta Financial Services Authority under the Investment Services Act to provide investment services to EEA states under EU passporting rights.

To learn more about how we protect your personal and financial information, please read our Privacy Policy.

Links: (1) Help centre; (2) Terms and conditions; (3) Key information documents.",yes,Account and service notifications,EU / DIEL,Clients,DIEL sender; genuinely transactional content outside the regulatory definition of product information.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,The phrase important updates may be adapted to the subject. Confirm that the message is truly transactional.
EU_DIEL_PARTNER_MARKETING,approved_source_pending_release_verification,"This email is a marketing email intended for partners and has been issued and approved for distribution by Deriv Investments (Europe) Limited, a company incorporated in Malta with registration number C 70156, and its registered address at W Business Centre, Level 3, Triq Dun Karm, Birkirkara, BKR 9033, Malta.

Deriv Investments (Europe) Limited is licensed and regulated by the Malta Financial Services Authority under the Investment Services Act to provide investment services to EEA states under EU passporting rights. It is the manufacturer and distributor of its products.

The products offered by Deriv Investments (Europe) Limited, including CFDs, are classed as 'complex products' and may not be appropriate for retail clients. CFDs are complex instruments with a high risk of losing money rapidly due to leverage. 74% of retail investor accounts lose money when trading CFDs with this provider. You should consider whether you understand how CFDs work and whether you can afford to take the high risk of losing your money.

Please also note that the information we provide does not constitute investment advice and it may become outdated. Your capital is at risk. The value of your investment may go down as well as up. Our products may be affected by changes in currency exchange rates.

To learn more about how we protect your personal and financial information, please read our Privacy Policy.

Links: (1) Help centre; (2) Terms and conditions; (3) Key information documents.",yes,All applicable products,EU / DIEL,Business partners,DIEL sender; partner audience; marketing about regulated products or trading.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Use only for DIEL business partners. Add past-performance wording when triggered. CFD wording may be removed only when permitted.
EU_DIEL_PARTNER_ACCOUNT,approved_source_pending_release_verification,"This is a notification email for partners and has been issued by Deriv Investments (Europe) Limited, a company incorporated in Malta, with registration number C 70156, and its registered address at W Business Centre, Level 3, Triq Dun Karm, Birkirkara, BKR 9033, Malta.

Deriv Investments (Europe) Limited is licensed and regulated by the Malta Financial Services Authority under the Investment Services Act to provide investment services to EEA states under EU passporting rights.

To learn more about how we protect your personal and financial information, please read our Privacy Policy.

Links: (1) Help centre; (2) Terms and conditions; (3) Key information documents.",yes,Affiliate programme or account-only notices,EU / DIEL,Business partners,DIEL sender; partner audience; account-related or purely affiliate-programme content not about products or trading.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,No tailoring beyond functional links.
ROW_CLIENT_MARKETING_V1,approved_source_pending_release_verification,"The products offered on our website, including CFDs, are complex derivative products that carry a significant risk of potential loss. You should consider whether you understand how these products work and whether you can afford to take the high risk of losing your money. Trading conditions, products, and platforms may differ depending on your country of residence.

Deriv (BVI) Ltd is licensed and regulated by the British Virgin Islands Financial Services Commission.
Deriv (FX) Ltd is licensed and regulated by the Labuan Financial Services Authority.
Deriv (V) Ltd is licensed and regulated by the Vanuatu Financial Services Commission.
Deriv (Mauritius) Ltd is licensed as an Investment Dealer (Full Service Dealer, excluding Underwriting) under the Securities Act 2005 and is regulated by the Financial Services Commission, Mauritius.
Deriv Investments (Cayman) Limited, registered office at Campbells Corporate Services Limited, Floor 4, Willow House, Cricket Square, Grand Cayman, Cayman Islands, is regulated by the Cayman Islands Monetary Authority.
Deriv Capital International Ltd is a company registered in Samoa
Deriv (SVG) LLC is a company registered in Saint Vincent and the Grenadines.

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,All applicable products,ROW V1,Clients,ROW V1 client marketing.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Apply company tags. Add ROW performance wording and independent-party wording when triggered.
ROW_CLIENT_TRANSACTIONAL_V1,approved_source_pending_release_verification,"Deriv (BVI) Ltd is licensed and regulated by the British Virgin Islands Financial Services Commission.
Deriv (FX) Ltd is licensed and regulated by the Labuan Financial Services Authority.
Deriv (V) Ltd is licensed and regulated by the Vanuatu Financial Services Commission.
Deriv (Mauritius) Ltd is regulated by the Financial Services Commission, Mauritius.
Deriv Investments (Cayman) Limited is regulated by the Cayman Islands Monetary Authority.
Deriv Capital International Ltd is a company registered in Samoa.
Deriv (SVG) LLC is a company registered in Saint Vincent and the Grenadines.

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,Account and service notifications,ROW V1,Clients,ROW V1 client transactional.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Apply company tags. Risk warning not applicable.
ROW_PARTNER_MARKETING_V1,approved_source_pending_release_verification,"The products offered on our website, including CFDs, are complex derivative products that carry a significant risk of potential loss. You should consider whether you understand how these products work and whether you can afford to take the high risk of losing your money. Trading conditions, products, and platforms may differ depending on your country of residence.

Deriv (BVI) Ltd is licensed and regulated by the British Virgin Islands Financial Services Commission.
Deriv (V) Ltd is licensed and regulated by the Vanuatu Financial Services Commission.
Deriv (SVG) LLC is a company registered in Saint Vincent and the Grenadines.

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,All applicable products,ROW V1,Business partners,ROW V1 partner marketing.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Add independent-party wording for master-partner initiatives when triggered.
ROW_PARTNER_ACCOUNT_V1,approved_source_pending_release_verification,"Deriv (BVI) Ltd is licensed and regulated by the British Virgin Islands Financial Services Commission.
Deriv (V) Ltd is licensed and regulated by the Vanuatu Financial Services Commission.
Deriv (SVG) LLC is a company registered in Saint Vincent and the Grenadines.

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,Affiliate programme or account-only notices,ROW V1,Business partners,ROW V1 partner account-related or affiliate-only content.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,No tailoring beyond company tags and functional links.
UAE_DCL_CLIENT_MARKETING,approved_source_pending_release_verification,"This marketing email is intended for retail and professional clients. Deriv Capital Contracts & Currencies L.L.C is a limited liability company registered in Dubai, UAE, under registration number 2279721. Its registered office (2402) and place of business (2201) are located at One by Omniyat, Business Bay, Dubai.

The company is licensed and regulated by the Capital Market Authority (CMA) as a Category 1 Trading Broker for Over-the-Counter Derivatives Contracts & Currencies Spot Markets, a Financial Products Dealer (Licence 20200000243), and a Category 5 Financial Consultant (Licence 20200000199).

The products offered on our website, including CFDs, are complex derivative products that carry a significant risk of potential loss. You should consider whether you understand how these products work and whether you can afford to take the high risk of losing your money.

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,All applicable products,UAE / DCL,Clients,DCL sender; client marketing.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,Tailor the target audience when the email is only for professional investors or counterparties.
UAE_DCL_CLIENT_TRANSACTIONAL,approved_source_pending_release_verification,"Deriv Capital Contracts & Currencies L.L.C is a limited liability company registered in Dubai, UAE, under registration number 2279721. Its registered office (2402) and place of business (2201) are located at One by Omniyat, Business Bay, Dubai.

The company is licensed and regulated by the Capital Market Authority (CMA) as a Category 1 Trading Broker for Over-the-Counter Derivatives Contracts & Currencies Spot Markets, a Financial Products Dealer (Licence 20200000243), and a Category 5 Financial Consultant (Licence 20200000199).

Links: (1) Help centre; (2) Terms and conditions; (3) Privacy policy.",yes,Account and service notifications,UAE / DCL,Clients,DCL sender; client transactional.,Email footer. Replace numbered link placeholders with functional jurisdiction-specific links before sending.,,,Compliance / Legal,SRC-002,2026-07-20,No tailoring beyond functional links.
